股票代號,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價
1101,2016/1/4,10437306,275489048,27.3,27.3,26.15,26.15
1101,2016/1/5,5382070,141869299,26.15,26.7,26.1,26.4
1101,2016/1/6,5154746,134781854,26.45,26.55,26,26.05
1101,2016/1/7,20289500,551115454,26.3,27.6,26.25,27.35
1101,2016/1/8,11915555,321236429,27.25,27.3,26.7,27
1101,2016/1/11,11756679,306250249,26.5,26.55,25.75,26
1101,2016/1/12,5331895,139210353,26.2,26.25,26,26.1
1101,2016/1/13,6281863,166202718,26.2,26.75,26.2,26.75
1101,2016/1/14,7947189,210035902,26.2,26.75,26,26.75
1101,2016/1/15,10040814,266216332,26.65,26.9,26.15,26.9
1101,2016/1/18,7044076,187200559,26.5,26.9,26.25,26.6
1101,2016/1/19,3365090,89015985,26.55,26.6,26.3,26.5
1101,2016/1/20,9593481,249581416,26.2,26.25,25.85,26.1
1101,2016/1/21,4485935,116808346,26.25,26.3,25.85,25.85
1101,2016/1/22,6341786,163560655,26,26.15,25.6,25.65
1101,2016/1/25,6261270,162190920,25.85,26,25.75,25.85
1101,2016/1/26,3984798,101869204,25.65,25.75,25.45,25.5
1101,2016/1/27,3831138,97966318,25.6,25.75,25.5,25.5
1101,2016/1/28,5532164,142905564,25.5,26,25.5,25.85
1101,2016/1/29,7902753,208839228,25.85,26.8,25.8,26.6
1101,2016/2/1,5883078,158852270,27.2,27.25,26.65,27.25
1101,2016/2/2,6132945,165486395,27.1,27.1,26.85,26.85
1101,2016/2/3,6229080,165219977,26.75,26.85,26.25,26.6
1101,2016/2/15,5715396,154638708,26.8,27.35,26.6,27.05
1101,2016/2/16,9610907,268881005,27.3,28.25,27.3,28.25
1101,2016/2/17,5705677,160108786,28.3,28.3,27.65,28.15
1101,2016/2/18,9042899,260647071,28.35,29.05,28.15,29.05
1101,2016/2/19,6014685,174087593,29,29.1,28.6,29.1
1101,2016/2/22,4990988,146591984,29.3,29.8,29.1,29.3
1101,2016/2/23,4597205,134196643,29.4,29.45,28.95,29.3
1101,2016/2/24,7527146,219633882,29.3,29.5,29.05,29.2
1101,2016/2/25,5468195,161031722,29.3,29.6,29.25,29.5
1101,2016/3/1,16744279,470099056,29.9,30,29.35,29.85
1101,2016/3/2,6946679,208061470,29.9,30.25,29.8,29.95
1101,2016/3/3,8345280,250485372,29.95,30.4,29.75,30.4
1101,2016/3/4,10628429,317385294,30.4,30.45,29.65,29.75
1101,2016/3/7,10646670,321362313,29.75,30.45,29.75,30.45
1101,2016/3/8,11296082,344014678,30.6,30.75,30.1,30.6
1101,2016/3/9,6986002,209886251,30.45,30.45,29.9,29.95
1101,2016/3/10,8444242,256800326,30,30.7,30,30.7
1101,2016/3/11,4142929,126282104,30.6,30.65,30.3,30.4
1101,2016/3/14,6404386,196361358,30.85,30.85,30.4,30.7
1101,2016/3/15,6872822,207483195,30.7,30.7,29.95,30.1
1101,2016/3/16,5770212,173984960,30.2,30.4,29.95,30.4
1101,2016/3/17,7100772,217579876,30.7,30.85,30.4,30.85
1101,2016/3/18,17233849,542394155,31.05,31.6,31.05,31.6
1101,2016/3/21,4783923,150926787,31.75,31.95,31.1,31.65
1101,2016/3/22,5614200,178405096,31.75,32.1,31.25,32.1
1101,2016/3/23,4875505,154418584,31.85,32,31.4,31.6
1101,2016/3/24,12414840,385531704,31.6,31.6,30.85,30.85
1101,2016/3/25,4173806,130465748,31,31.5,30.95,31.3
1101,2016/3/28,3285004,102544912,31.2,31.4,30.9,31.35
1101,2016/3/29,4509946,138216266,31,31.3,30.35,30.7
1101,2016/3/30,5571784,174162485,30.85,31.45,30.85,31.25
1101,2016/4/1,5973561,183333216,30.85,31.05,30.4,30.8
1101,2016/4/6,7673379,231510531,30.4,30.5,30,30
1101,2016/4/7,7114308,211805740,30,30.3,29.3,29.85
1101,2016/4/8,9656406,287731632,29.75,30.2,29.45,30.2
1101,2016/4/11,5677983,169287226,29.4,30.2,29.4,30.2
1101,2016/4/12,5679663,172840600,30.2,30.6,29.9,30.5
1101,2016/4/13,13086226,410341474,30.6,31.6,30.55,31.6
1101,2016/4/14,25875557,848058591,31.7,33.25,31.7,33
1101,2016/4/15,12931841,431589396,33.1,33.85,32.5,33.55
1101,2016/4/18,9634724,328533652,33.95,35,33.25,33.95
1101,2016/4/19,6091233,204943279,34,34.1,33.4,33.5
1101,2016/4/20,7401150,245587499,34.15,34.2,32.6,32.85
1101,2016/4/21,6886014,228094453,33.2,33.5,32.85,33.5
1101,2016/4/22,3896026,129236649,33.5,33.55,33,33.1
1101,2016/4/25,2871499,95348726,33,33.5,33,33.2
1101,2016/4/26,3850041,127353882,33.25,33.5,32.75,32.95
1101,2016/4/27,4844395,160325212,32.75,33.3,32.7,33
1101,2016/4/28,6301468,208827932,33.45,33.6,32.8,33.25
1101,2016/5/3,5007366,163620266,33,33,32.4,32.65
1101,2016/5/4,12164122,378687037,32,32.35,30.45,31
1101,2016/5/5,9546128,293495218,30.4,31.1,30.4,30.8
1101,2016/5/6,6430243,196277083,30.5,31,30.15,30.7
1101,2016/5/9,5539471,167312371,30.3,30.7,30,30
1101,2016/5/10,6695646,201426551,29.8,30.4,29.7,30.2
1101,2016/5/11,6439671,192046185,30.4,30.55,29.6,29.65
1101,2016/5/12,3242925,96161650,29.5,29.8,29.45,29.7
1101,2016/5/13,6331183,183832943,29.4,29.55,28.8,29
1101,2016/5/16,5113153,146130599,28.6,28.75,28.3,28.6
1101,2016/5/17,7754507,223283753,28.65,29.15,28.4,29
1101,2016/5/18,7216600,205849796,28.5,28.8,28.25,28.5
1101,2016/5/19,11062502,307406971,28.4,28.45,27.55,27.7
1101,2016/5/20,7791850,219625835,27.8,28.45,27.7,28.3
1101,2016/5/23,8061643,230221608,28.3,29.2,27.6,28.8
1101,2016/5/24,4966406,143707525,29,29.15,28.8,28.9
1101,2016/5/25,5094740,148848588,29.5,29.5,28.9,29.25
1101,2016/5/26,4266685,124668214,29.25,29.4,28.85,29.3
1101,2016/5/27,3583194,105169490,29.4,29.45,29.2,29.45
1101,2016/5/30,3290573,97143138,29.3,29.85,29.2,29.65
1101,2016/6/1,4660171,139761057,30,30.2,29.65,29.9
1101,2016/6/2,5759975,172709846,29.9,30.1,29.8,30
1101,2016/6/3,4050057,123369423,30.1,30.7,30.05,30.7
1101,2016/6/4,1669790,51315141,30.7,30.9,30.5,30.6
1101,2016/6/6,4256085,129037327,30.95,30.95,29.9,29.95
1101,2016/6/7,8770491,272610609,30.4,31.45,30.4,31.3
1101,2016/6/8,5833268,183984665,31.3,31.65,31.15,31.6
1101,2016/6/13,6848307,216294398,31.6,31.95,31.2,31.5
1101,2016/6/14,4053170,127281562,31.45,31.75,31.15,31.3
1101,2016/6/15,8364820,267684453,31.3,32.55,31.3,32.2
1101,2016/6/16,10466081,324813534,32,32,30.6,30.65
1101,2016/6/17,9654795,305581717,30.95,31.9,30.95,31.9
1101,2016/6/20,4382406,140859601,32.2,32.4,31.9,32.2
1101,2016/6/21,6919844,224065440,32.2,32.5,32.15,32.5
1101,2016/6/22,5687278,184099137,32.5,32.75,32.1,32.75
1101,2016/6/23,3766262,121176794,32.7,32.7,31.9,31.95
1101,2016/6/24,8351458,263295771,32.3,32.4,31.2,31.5
1101,2016/6/27,2219826,69658654,31.05,31.65,31.05,31.5
1101,2016/6/28,2785373,87917562,31,31.9,30.85,31.85
1101,2016/6/29,4891161,154501252,31.8,31.95,31.45,31.5
1101,2016/7/1,10537924,343182474,32.5,32.7,32.2,32.65
1101,2016/7/4,12407965,413931092,32.7,33.65,32.65,33.65
1101,2016/7/5,13226714,448940294,33.7,34.35,33.55,33.95
1101,2016/7/6,10258417,340271440,33.95,33.95,32.8,33.1
1101,2016/7/7,10125131,341068982,33.1,34.15,33.1,34.1
1101,2016/7/11,20745207,723015783,34.7,35.1,34.3,35.1
1101,2016/7/12,8345835,289953627,35.1,35.1,34.5,34.8
1101,2016/7/13,10472583,365666825,34.95,35.1,34.7,35
1101,2016/7/14,6410562,224507593,35,35.1,34.8,35.05
1101,2016/7/15,10945807,385921408,35,35.5,34.85,35.25
1101,2016/7/18,8945221,316080126,35.3,35.5,35.05,35.5
1101,2016/7/19,10196350,362488555,35.55,35.75,35.4,35.6
1101,2016/7/20,10448434,371854221,35.6,36,35.25,35.3
1101,2016/7/21,12280999,435904797,35.45,35.65,35.35,35.5
1101,2016/7/22,12495110,438998905,35.45,35.95,34.65,34.85
1101,2016/7/25,10395954,351086116,33.9,34.15,33.45,34.1
1101,2016/7/26,4199417,141662041,34.1,34.1,33.6,33.75
1101,2016/7/27,2911286,98860959,34,34.05,33.75,34.05
1101,2016/7/28,5224710,177688840,33.95,34.1,33.65,34.1
1101,2016/8/1,4262763,144365898,34,34,33.6,33.9
1101,2016/8/2,4293001,146370667,33.9,34.4,33.85,34.4
1101,2016/8/3,6428564,221607455,33.7,34.95,33.3,34.9
1101,2016/8/4,4434113,152776627,34.9,34.9,34.1,34.5
1101,2016/8/5,5666704,197560841,34.5,35.15,34.35,34.9
1101,2016/8/8,4043087,141276456,35,35.1,34.65,35
1101,2016/8/9,4720704,165037436,34.85,35.05,34.8,35
1101,2016/8/10,5563376,194543327,35,35.1,34.6,35.05
1101,2016/8/11,5413571,189076610,34.65,35,34.6,35
1101,2016/8/12,4513594,157899003,35,35,34.7,35
1101,2016/8/15,3067235,107284221,34.95,35,34.75,35
1101,2016/8/16,5267757,183628963,35,35,34.6,34.85
1101,2016/8/17,4520553,155199514,34.8,34.8,34.15,34.2
1101,2016/8/18,6584104,228431316,34.2,35.1,34.15,35.1
1101,2016/8/19,17933143,660391708,36,38,36,36.75
1101,2016/8/22,17290465,644736363,36.75,37.8,36.6,37.6
1101,2016/8/23,7511834,281817127,37.6,37.6,37.05,37.55
1101,2016/8/24,5183714,194618535,37.55,37.95,37.2,37.55
1101,2016/8/25,7072822,266403962,37.6,37.9,37.55,37.8
1101,2016/8/26,3825844,143812526,37.8,37.8,37.45,37.6
1101,2016/8/29,7655978,282516542,37.6,37.95,36.6,36.8
1101,2016/8/30,9750445,354213742,37.05,37.05,36.1,36.25
1101,2016/8/31,8052267,292598985,36.25,36.5,36.1,36.25
1101,2016/9/1,10901935,384985442,36.1,36.25,35.05,35.25
1101,2016/9/2,5829071,207116267,35.4,35.75,35.2,35.75
1101,2016/9/5,6589141,239537154,36.1,36.5,36.1,36.4
1101,2016/9/6,8538341,316706448,36.45,37.5,36.3,37.5
1101,2016/9/7,8430859,315939824,37.5,37.7,37.15,37.5
1101,2016/9/8,7013084,257298299,37.5,37.55,36.45,36.5
1101,2016/9/9,4270873,153131036,36.05,36.2,35.6,35.75
1101,2016/9/10,3061363,108298177,35.1,35.8,34.95,35.5
1101,2016/9/12,7312683,253866914,35.05,35.1,34.6,34.7
1101,2016/9/13,7558437,260862619,34.7,35,34.1,34.4
1101,2016/9/14,10428547,356804919,34.2,35.05,33.95,33.95
1101,2016/9/19,6309088,215644428,34,34.6,33.9,34.6
1101,2016/9/20,5395132,185512944,34.5,34.55,34.15,34.5
1101,2016/9/21,12187219,433902784,34.5,36.3,34.35,36.3
1101,2016/9/22,6644601,239279053,36.6,36.6,35.5,35.8
1101,2016/9/23,4971524,178599145,35.85,36.2,35.3,35.8
1101,2016/9/26,3144998,113566512,35.8,36.45,35.7,36.05
1101,2016/9/29,6068304,221837304,36.65,36.7,36.1,36.6
1101,2016/9/30,5946051,212892013,36.25,36.3,35.6,35.65
1101,2016/10/3,2589194,93133920,35.8,36.2,35.75,35.75
1101,2016/10/4,6605167,237082119,36.2,36.2,35.65,35.95
1101,2016/10/5,4091742,147949923,35.6,36.4,35.6,36.4
1101,2016/10/6,2626905,95754278,36.4,36.65,36.05,36.6
1101,2016/10/7,4489520,164170134,36.6,36.7,36.35,36.65
1101,2016/10/11,4305098,156041228,36.85,36.85,35.8,36.05
1101,2016/10/12,3841588,139395976,35.9,36.8,35.85,36.05
1101,2016/10/13,9132910,322055581,36.05,36.05,35,35
1101,2016/10/14,4112120,146796864,35.1,35.9,35.1,35.85
1101,2016/10/17,4102988,146279541,36.05,36.1,35.15,36.05
1101,2016/10/18,5283911,191381664,35.85,36.45,35.75,36.4
1101,2016/10/19,11106706,412999451,36.4,37.35,36.4,37.35
1101,2016/10/20,6836904,253842978,37.35,37.5,36.6,36.9
1101,2016/10/21,7010339,257993278,37,37.1,36.7,36.7
1101,2016/10/24,4323590,159859874,36.75,37.15,36.75,37
1101,2016/10/25,8676694,326408609,37.5,37.8,37.2,37.45
1101,2016/10/26,4659407,174658410,36.95,37.8,36.95,37.55
1101,2016/10/27,4635559,172884548,37.35,37.55,37.05,37.55
1101,2016/10/28,3975660,149152365,37.45,37.8,37.2,37.8
1101,2016/10/31,7114399,267687689,37.45,37.95,36.9,37.85
1101,2016/11/1,3585384,134337322,37.25,37.7,37.2,37.35
1101,2016/11/2,6470202,236771747,37,37.05,36.2,36.25
1101,2016/11/3,4459764,160390966,35.9,36.15,35.85,35.9
1101,2016/11/4,4813332,172648800,35.85,36.05,35.55,36.05
1101,2016/11/7,6360580,234223965,36.05,37.1,36.05,37.1
1101,2016/11/8,4437476,165525790,37.3,37.65,37.05,37.5
1101,2016/11/9,7408671,271410644,37.8,37.95,36.05,36.3
1101,2016/11/10,14729334,557915392,36.9,38.2,36.9,38.15
1101,2016/11/11,10715274,401691867,37.5,37.85,37.1,37.5
1101,2016/11/14,6577921,245289707,37.4,37.75,36.85,37.05
1101,2016/11/15,5197016,191669624,37.1,37.4,36.7,36.7
1101,2016/11/16,6265248,231019998,37.2,37.25,36.55,36.55
1101,2016/11/17,9308073,336769886,36.55,36.55,35.95,36.2
1101,2016/11/18,6818114,244549754,36.1,36.15,35.6,35.85
1101,2016/11/21,7152516,260749525,36,36.8,35.8,36.8
1101,2016/11/22,5901102,218271344,36.7,37.2,36.6,37.1
1101,2016/11/23,4159779,153826880,37.15,37.15,36.75,37.15
1101,2016/11/24,3141512,115471555,37,37.05,36.55,36.75
1101,2016/11/25,2083440,76303267,36.5,36.75,36.5,36.75
1101,2016/11/28,2444939,90355891,36.75,37.1,36.55,37
1101,2016/11/29,3452766,126632603,37,37,36.5,36.6
1101,2016/11/30,12602006,464140258,36.9,37.05,36.55,36.85
1101,2016/12/1,4980345,184873815,37.3,37.35,36.9,37.1
1101,2016/12/2,3992950,148052794,36.7,37.25,36.7,37.1
1101,2016/12/5,3645304,134427072,37.1,37.1,36.55,36.7
1101,2016/12/6,4705907,174260122,37.25,37.3,36.7,36.95
1101,2016/12/7,5071268,187830755,37.1,37.2,36.75,37.05
1101,2016/12/8,9247238,348028350,37.1,38,37.05,38
1101,2016/12/9,6367803,241264176,38,38,37.55,37.95
1101,2016/12/12,5851578,221488235,38,38.3,37.6,37.9
1101,2016/12/13,4751396,178646014,37.9,37.9,37.45,37.85
1101,2016/12/14,3848724,145226582,37.85,37.85,37.6,37.7
1101,2016/12/15,5066706,188240335,37.5,37.7,36.9,37.05
1101,2016/12/16,7874722,289146497,37.05,37.2,36.55,36.65
1101,2016/12/19,5428506,195922366,36.6,36.6,35.9,36
1101,2016/12/20,3422971,123692189,36.2,36.3,36.05,36.25
1101,2016/12/21,4138637,148889457,36.4,36.4,35.85,35.9
1101,2016/12/22,6915998,243858566,35.9,35.9,35,35
1101,2016/12/23,6936379,239511417,34.9,34.95,34.35,34.35
1101,2016/12/26,4685948,160372703,34.4,34.85,34,34.25
1101,2016/12/27,2949091,100534741,34.3,34.3,34.05,34.1
1101,2016/12/28,6390960,218855112,34.2,34.5,34.15,34.5
1101,2016/12/29,5504753,188700567,34.5,34.5,34.2,34.2
1101,2016/12/30,6121039,213121341,34.5,35.15,34.3,35.15
1101,2017/1/3,2890982,101450502,35.45,35.45,34.8,35.15
1101,2017/1/4,3296820,115895011,35.2,35.3,35,35.25
1101,2017/1/5,4098017,143758836,35,35.25,34.9,35.25
1101,2017/1/6,3542625,124391293,35.3,35.3,34.9,35.25
1101,2017/1/9,4877900,170970138,35.25,35.35,34.9,34.9
1101,2017/1/10,2863568,100132754,34.8,35.15,34.65,34.95
1101,2017/1/11,5403483,192049377,35.15,35.85,35.05,35.8
1101,2017/1/12,7967333,288119189,35.85,36.3,35.7,36.3
1101,2017/1/13,3896119,140384134,36.3,36.4,35.7,36
1101,2017/1/16,2145899,76997328,35.8,36.05,35.6,35.8
1101,2017/1/17,2902410,103568249,35.9,36,35.55,35.55
1101,2017/1/18,8308000,294868541,35.45,35.55,35.3,35.45
1101,2017/1/19,6098231,211855327,35.2,35.2,34.6,34.65
1101,2017/1/20,2355242,82362962,34.8,35.1,34.75,34.95
1101,2017/1/23,9432643,333011316,34.5,35.8,34.5,35.75
1101,2017/1/24,6790602,241575213,35.75,36,35.3,35.4
1101,2017/2/2,12154811,436266003,36.25,36.3,35.3,35.3
1101,2017/2/3,5407188,192305862,35.25,36,35.2,36
1101,2017/2/6,3315263,118523489,36.05,36.05,35.55,35.6
1101,2017/2/7,7887754,278382258,35.4,35.5,35.2,35.25
1101,2017/2/8,6318414,221860540,35.25,35.45,34.95,35.2
1101,2017/2/9,13658435,490493530,35,36.3,35,36.3
1101,2017/2/10,39364540,1507458037,38.2,38.8,37.8,38.2
1101,2017/2/13,9216710,348941417,38.2,38.2,37.6,38
1101,2017/2/14,9427952,356144372,37.35,38.2,37.35,37.8
1101,2017/2/15,8834192,336022928,37.8,38.25,37.7,38.05
1101,2017/2/16,10250490,386769103,38.1,38.15,37.55,37.65
1101,2017/2/17,7386370,275702930,37.65,37.65,37.1,37.5
1101,2017/2/18,2342287,87310107,37.5,37.6,37.15,37.3
1101,2017/2/20,6782081,250251174,37.3,37.35,36.5,36.6
1101,2017/2/21,9412229,350105173,36.7,37.4,36.7,37.05
1101,2017/2/22,13614782,516788226,37.45,38.4,37.25,38.2
1101,2017/2/23,5636826,213628036,38.3,38.3,37.65,38
1101,2017/2/24,9870769,373709675,38,38.1,37.65,37.65
1101,2017/3/1,8509295,323165570,37.65,38.25,37.6,37.7
1101,2017/3/2,16935050,652494032,38,38.9,38,38.15
1101,2017/3/3,7362110,280557830,38.15,38.55,38,38
1101,2017/3/6,5199164,197152247,37.9,38.1,37.75,37.8
1101,2017/3/7,2600079,99233087,37.8,38.25,37.8,38.2
1101,2017/3/8,6351161,242988218,38.2,38.45,38.15,38.15
1101,2017/3/9,9446829,356636332,38,38,37.5,37.5
1101,2017/3/10,5336924,197781656,37.3,37.3,36.85,37
1101,2017/3/13,5014808,188794816,37.2,37.95,37.2,37.6
1101,2017/3/14,4845441,183069246,37.6,37.9,37.45,37.8
1101,2017/3/15,6959294,265164222,37.7,38.4,37.55,38.2
1101,2017/3/16,4475521,171116537,38.2,38.5,37.9,38
1101,2017/3/17,9158312,349768556,38.15,38.4,37.95,38.2
1101,2017/3/20,2710369,103015822,38,38.2,37.9,38.15
1101,2017/3/21,6767923,258014535,38,38.4,37.85,38.4
1101,2017/3/22,5061425,191783497,37.95,38,37.75,37.9
1101,2017/3/23,3378905,128258706,38.15,38.25,37.7,38
1101,2017/3/24,3687099,140010528,38,38.1,37.8,38
1101,2017/3/27,5657656,213641321,37.85,37.85,37.55,37.75
1101,2017/3/28,12332096,459061839,37.8,37.8,36.9,37.15
1101,2017/3/29,3799461,142507569,37.4,37.7,37.25,37.7
1101,2017/3/30,6234143,230780770,37.65,37.65,36.85,36.85
1101,2017/3/31,8810234,321280455,37.1,37.2,36.3,36.3
1101,2017/4/5,7385595,272791615,36.4,37.2,36.4,37.05
1101,2017/4/6,5074098,189024716,37.2,37.45,37.1,37.3
1101,2017/4/7,3786727,139563512,36.95,37.25,36.5,37.15
1101,2017/4/10,978271,36190027,37.15,37.15,36.85,37
1101,2017/4/11,3063366,113436504,37,37.3,36.9,36.9
1101,2017/4/12,4321948,159601983,37.25,37.5,36.7,36.85
1101,2017/4/13,2235480,82362900,36.9,37.05,36.75,36.75
1101,2017/4/14,2230761,81582255,36.6,36.75,36.4,36.5
1101,2017/4/17,2460829,89759637,36.65,36.7,36.35,36.5
1101,2017/4/18,3836886,139789711,36.6,36.65,36.25,36.45
1101,2017/4/19,0,0,--,--,--,--
1101,2017/4/20,0,0,--,--,--,--
1101,2017/4/21,15672983,562422150,36.45,37.1,35.35,35.6
1101,2017/4/24,10227016,373260608,35.8,37.3,35.75,36.25
1101,2017/4/25,11861031,422718651,36.2,36.2,35.45,35.55
1101,2017/4/26,9700088,346007783,35.65,35.85,35.5,35.65
1101,2017/4/27,8224979,290243541,35.55,35.65,35.1,35.3
